REF_AREA,CURRENCY_DENOM,TIME_PERIOD,OBS_VALUE
AT,EUR,2014-01,7040
AT,EUR,2014-02,5242
AT,EUR,2014-03,6298
AT,EUR,2014-04,6839
AT,EUR,2014-05,9598
AT,EUR,2014-06,8470
AT,EUR,2014-07,5480
AT,EUR,2014-08,3324
AT,EUR,2014-09,4674
AT,EUR,2014-10,8792
AT,EUR,2014-11,5076
AT,EUR,2014-12,3974
AT,EUR,2015-01,3500
AT,EUR,2015-02,4969
AT,EUR,2015-03,4955
AT,EUR,2015-04,2249
AT,EUR,2015-05,2313
AT,EUR,2015-06,6940
AT,EUR,2015-07,5319
AT,EUR,2015-08,3445
AT,EUR,2015-09,5664
AT,EUR,2015-10,4661
AT,EUR,2015-11,4232
AT,EUR,2015-12,5474
AT,EUR,2016-01,5173
AT,EUR,2016-02,10407
AT,EUR,2016-03,3255
AT,EUR,2016-04,3729
AT,EUR,2016-05,3045
AT,EUR,2016-06,3196
AT,EUR,2016-07,2926
AT,EUR,2016-08,2496
AT,EUR,2016-09,5197
AT,EUR,2016-10,15254
AT,EUR,2016-11,6934
AT,EUR,2016-12,4592
AT,EUR,2017-01,5815
AT,EUR,2017-02,4806
AT,EUR,2017-03,5982
AT,EUR,2017-04,7978
AT,EUR,2017-05,3099
AT,EUR,2017-06,4449
AT,EUR,2017-07,3187
AT,EUR,2017-08,3492
AT,EUR,2017-09,13527
AT,EUR,2017-10,2478
AT,EUR,2017-11,3838
AT,EUR,2017-12,2577
AT,EUR,2018-01,12015
AT,EUR,2018-02,2716
AT,EUR,2018-03,4441
AT,EUR,2018-04,3750
AT,EUR,2018-05,3132
AT,EUR,2018-06,5292
AT,EUR,2018-07,5363
AT,EUR,2018-08,2081
AT,EUR,2018-09,4900
AT,EUR,2018-10,2938
AT,EUR,2018-11,2124
AT,EUR,2018-12,4853
AT,EUR,2019-01,4861
AT,EUR,2019-02,8524
AT,EUR,2019-03,7026
AT,EUR,2019-04,5624
AT,EUR,2019-05,5498
AT,EUR,2019-06,5493
AT,EUR,2019-07,7829
AT,EUR,2019-08,3182
AT,EUR,2019-09,6637
